1985-02-01,88
1985-03-01,61
1985-04-01,74
1985-05-01,39
1985-06-01,89
1985-07-01,54
1985-08-01,47
1985-09-01,42
1985-10-01,71
1985-11-01,103
1985-12-01,61
1986-01-01,125
1986-02-01,109
1986-03-01,92
1986-04-01,49
1986-05-01,92
1986-06-01,72
1986-07-01,44
1986-08-01,83
1986-09-01,66
1986-10-01,127
1986-11-01,66
1986-12-01,56
1987-01-01,58
1987-02-01,105
1987-03-01,54
1987-04-01,64
1987-05-01,148
1987-06-01,69
1987-07-01,57
1987-08-01,120
1987-09-01,56
1987-10-01,143
1987-11-01,168
1987-12-01,78
1988-01-01,122
1988-02-01,103
1988-03-01,115
1988-04-01,135
1988-05-01,141
1988-06-01,122
1988-07-01,72
1988-08-01,167
1988-09-01,347
1988-10-01,248
1988-11-01,138
1988-12-01,125
1989-01-01,113
1989-02-01,73
1989-03-01,161
1989-04-01,151
1989-05-01,77
1989-06-01,174
1989-07-01,127
1989-08-01,113
1989-09-01,398
1989-10-01,409
1989-11-01,385
1989-12-01,184
1990-01-01,203
1990-02-01,204
1990-03-01,113
1990-04-01,192
1990-05-01,211
1990-06-01,109
1990-07-01,93
1990-08-01,67
1990-09-01,379
1990-10-01,541
1990-11-01,416
1990-12-01,516
1991-01-01,287
1991-02-01,105
1991-03-01,107
1991-04-01,315
1991-05-01,220
1991-06-01,380
1991-07-01,283
1991-08-01,274
1991-09-01,480
1991-10-01,342
1991-11-01,226
1991-12-01,453
1992-01-01,328
1992-02-01,478
1992-03-01,443
1992-04-01,519
1992-05-01,639
1992-06-01,360
1992-07-01,269
1992-08-01,103
1992-09-01,428
1992-10-01,693
1992-11-01,257
1992-12-01,242
1993-01-01,173
1993-02-01,189
1993-03-01,238
1993-04-01,230
1993-05-01,157
1993-06-01,369
1993-07-01,296
1993-08-01,169
1993-09-01,529
1993-10-01,623
1993-11-01,310
1993-12-01,277
1994-01-01,353
1994-02-01,431
1994-03-01,672
1994-04-01,491
1994-05-01,508
1994-06-01,523
1994-07-01,424
1994-08-01,548
1994-09-01,703
1994-10-01,618
1994-11-01,897
1994-12-01,794
1995-01-01,883
1995-02-01,752
1995-03-01,864
1995-04-01,1791
1995-05-01,1284
1995-06-01,1752
1995-07-01,2883
1995-08-01,2489
1995-09-01,4105
1995-10-01,2863
1995-11-01,2109
1995-12-01,3374
1996-01-01,3142
1996-02-01,2537
1996-03-01,2056
1996-04-01,1992
1996-05-01,1453
1996-06-01,2760
1996-07-01,2007
1996-08-01,2509
1996-09-01,2728
1996-10-01,3556
1996-11-01,1833
1996-12-01,4396
1997-01-01,3921
1997-02-01,4546
1997-03-01,4751
1997-04-01,4880
1997-05-01,4275
1997-06-01,2815
1997-07-01,2860
1997-08-01,3642
1997-09-01,3775
1997-10-01,5132
1997-11-01,2069
1997-12-01,3357
1998-01-01,1911
1998-02-01,2016
1998-03-01,2066
1998-04-01,5897
1998-05-01,3849
1998-06-01,2945
1998-07-01,5771
1998-08-01,4061
1998-09-01,7393
1998-10-01,5482
1998-11-01,6298
1998-12-01,3413
1999-01-01,3508
1999-02-01,2711
1999-03-01,5136
1999-04-01,3391
1999-05-01,1792
1999-06-01,5416
1999-07-01,6281
1999-08-01,5066
1999-09-01,3377
1999-10-01,6671
1999-11-01,3815
1999-12-01,5963
2000-01-01,6120
2000-02-01,8128
2000-03-01,10011
2000-04-01,2051
2000-05-01,1334
2000-06-01,1989
2000-07-01,1371
2000-08-01,2381
2000-09-01,3878
2000-10-01,7713
2000-11-01,3888
2000-12-01,5481
2001-01-01,5426
2001-02-01,1541
2001-03-01,3833
2001-04-01,2640
2001-05-01,4003
2001-06-01,5355
2001-07-01,10302
2001-08-01,9047
2001-09-01,11772
2001-10-01,14109
2001-11-01,6167
2001-12-01,10724
2002-01-01,16440
2002-02-01,13583
2002-03-01,23273
2002-04-01,19311
2002-05-01,9937
2002-06-01,23565
2002-07-01,11689
2002-08-01,11603
2002-09-01,17477
2002-10-01,13116
2002-11-01,29006
2002-12-01,42999
2003-01-01,27327
2003-02-01,51745
2003-03-01,25650
2003-04-01,42970
2003-05-01,31558
2003-06-01,72046
2003-07-01,50137
2003-08-01,73450
2003-09-01,30581
2003-10-01,78052
2003-11-01,81182
2003-12-01,77943
2004-01-01,60116
2004-02-01,137579
2004-03-01,143509
2004-04-01,126824
2004-05-01,57428
2004-06-01,80059
2004-07-01,76543
2004-08-01,105327
2004-09-01,273809
2004-10-01,160648
2004-11-01,339801
2004-12-01,361217
2005-01-01,389918
2005-02-01,152670
2005-03-01,213470
2005-04-01,392369
2005-05-01,324781
2005-06-01,627347
2005-07-01,631702
2005-08-01,249182
2005-09-01,435726
2005-10-01,644731
2005-11-01,610945
2005-12-01,599380
2006-01-01,1317486
2006-02-01,1618566
2006-03-01,1531914
2006-04-01,1239189
2006-05-01,2195592
2006-06-01,1913484
2006-07-01,2224678
2006-08-01,1973194
2006-09-01,1663473
2006-10-01,2750638
2006-11-01,1776510
2006-12-01,2279235
2007-01-01,2441919
2007-02-01,3676758
2007-03-01,3906784
2007-04-01,3960211
2007-05-01,3916750
2007-06-01,2627419
2007-07-01,7094052
2007-08-01,3703728
2007-09-01,6236984
2007-10-01,5993765
2007-11-01,4514644
2007-12-01,6918667
2008-01-01,5849875
2008-02-01,12624208
2008-03-01,10254948
2008-04-01,18663864
2008-05-01,22139683
2008-06-01,24589035
2008-07-01,23950138
2008-08-01,26671713
2008-09-01,22481541
2008-10-01,22361001
2008-11-01,40083435
2008-12-01,42026004
2009-01-01,35569415
2009-02-01,39919849
2009-03-01,21365191
2009-04-01,59155440
2009-05-01,63191935
2009-06-01,76529811
2009-07-01,65183189
2009-08-01,44948665
2009-09-01,95535658
2009-10-01,105675251
2009-11-01,87189874
2009-12-01,61344250
2010-01-01,93132258
2010-02-01,165820176
2010-03-01,132581136
2010-04-01,108130014
2010-05-01,156049988
2010-06-01,213900573
2010-07-01,201906255
2010-08-01,120674053
2010-09-01,117425054
2010-10-01,223455010
2010-11-01,377076856
2010-12-01,204185003
2011-01-01,419743166
2011-02-01,325512442
2011-03-01,530772187
2011-04-01,479741293
2011-05-01,565943308
2011-06-01,408724696
2011-07-01,766262796
2011-08-01,578024166
2011-09-01,431917382
2011-10-01,678667389
2011-11-01,646151196
2011-12-01,863696675
2012-01-01,621547432
2012-02-01,1860564915
2012-03-01,2055804778
2012-04-01,2200130858
2012-05-01,889079134
2012-06-01,1728307701
2012-07-01,1022459146
2012-08-01,2047330939
2012-09-01,2726075236
2012-10-01,2838880329
2012-11-01,4607086673
2012-12-01,4213619896
2013-01-01,5832800301
2013-02-01,6148103367
2013-03-01,4262105503
2013-04-01,7032856495
2013-05-01,8353906069
2013-06-01,4277351615
2013-07-01,10730907153
2013-08-01,11245037664
2013-09-01,6175973265
2013-10-01,4738451175
2013-11-01,7708911417
2013-12-01,12888667458
2014-01-01,11592471135
2014-02-01,12745466027
2014-03-01,20055389360
2014-04-01,14778949344
2014-05-01,16818192534
2014-06-01,12376769786
2014-07-01,27620775147
2014-08-01,22201147116
2014-09-01,17751419988
2014-10-01,40688824109
2014-11-01,25234326587
2014-12-01,22245816296
2015-01-01,58817709629
